Ch1,Ch2,Ch3,Media,Growth,Viability,Differentiation,Attachment,Score,Name,Directory,SubDirectory,Image,Row,Column,size-average,too-big-(>250),too-small-(<75),#nuclei,all-negative,Dapi-positive,Dapi-intensity,Dapi-area,Dapi-intensity-in-nuclei,Dapi-area-fraction-in-nuclei,Ch1-positive,Ch1-intensity,Ch1-area,Ch1-intensity-in-nuclei,Ch1-area-fraction-in-nuclei,Ch2-positive,Ch2-intensity,Ch2-area,Ch2-intensity-in-nuclei,Ch2-area-fraction-in-nuclei,Ch3-positive,Ch3-intensity,Ch3-area,Ch3-intensity-in-nuclei,Ch3-area-fraction-in-nuclei,Ch1-Ch2-positive,Ch1-Ch3-positive,Ch2-Ch3-positive,Ch1-Ch2-Ch3-positive,size-average_per_nuclei,too-big-(>250)_per_nuclei,too-small-(<75)_per_nuclei,#nuclei_per_nuclei,all-negative_per_nuclei,Dapi-positive_per_nuclei,Dapi-intensity_per_nuclei,Dapi-area_per_nuclei,Dapi-intensity-in-nuclei_per_nuclei,Dapi-area-fraction-in-nuclei_per_nuclei,Ch1-positive_per_nuclei,Ch1-intensity_per_nuclei,Ch1-area_per_nuclei,Ch1-intensity-in-nuclei_per_nuclei,Ch1-area-fraction-in-nuclei_per_nuclei,Ch2-positive_per_nuclei,Ch2-intensity_per_nuclei,Ch2-area_per_nuclei,Ch2-intensity-in-nuclei_per_nuclei,Ch2-area-fraction-in-nuclei_per_nuclei,Ch3-positive_per_nuclei,Ch3-intensity_per_nuclei,Ch3-area_per_nuclei,Ch3-intensity-in-nuclei_per_nuclei,Ch3-area-fraction-in-nuclei_per_nuclei,Ch1-Ch2-positive_per_nuclei,Ch1-Ch3-positive_per_nuclei,Ch2-Ch3-positive_per_nuclei
MAP2,S100,Brn2,mTeSR1,1.5,1.75,2.5,2.25,6,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A01f01d0.TIF,A,1,137.18,140,41,410,121,410,9.50014083049756,13.1985480088292,39.0729985874397,99.9983903248271,282,18.3147231099972,9.97927779821576,30.4216544852716,27.0864516503226,1,7.30391221374046,0.00589188816334,9.44167649809671,0.004797623403874,117,8.13728099420583,1.32639335969834,19.9102265208253,11.6613518481878,1,110,1,1,0.334585365853659,0.341463414634146,0.1,1,0.295121951219512,1,0.023171075196336,0.03219158050934,0.095299996554731,0.243898512987383,0.68780487804878,0.044670056365847,0.024339701946868,0.07419915728115,0.066064516220299,0.002439024390244,0.017814420033513,1.43704589349765E-05,0.023028479263651,1.17015204972535E-05,0.285365853658537,0.019847026815136,0.003235105755362,0.048561528099574,0.028442321580946,0.002439024390244,0.268292682926829,0.002439024390244
MAP2,S100,Brn2,mTeSR1,1.5,1.75,2.5,2.25,6,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A01f08d0.TIF,A,1,125.63,87,80,358,24,358,6.37214027867194,8.7768296468316,39.2201640291788,100,333,20.4349513991079,15.9823214614182,48.2651036829222,58.5864758505404,5,11.2024833590086,0.024645337073485,19.3103132023865,0.112486921442539,36,2.31084452313069,0.153260944541525,6.66396290169744,2.20026925688212,5,35,1,1,0.350921787709497,0.243016759776536,0.223463687150838,1,0.067039106145251,1,0.01779927452143,0.024516283929697,0.109553530807762,0.279329608938548,0.930167597765363,0.05708086982991,0.044643356037481,0.134818725371291,0.163649373884191,0.013966480446927,0.031291852958125,6.88417236689519E-05,0.053939422353035,0.000314209277772,0.100558659217877,0.006454872969639,0.000428103197043,0.018614421513121,0.006146003510844,0.013966480446927,0.097765363128492,0.002793296089385
MAP2,S100,Brn2,mTeSR1,1.5,1.75,2.5,2.25,6,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A01f09d0.TIF,A,1,142.8,246,38,659,208,659,15.1553769946197,25.0807619792146,37.3983286024104,99.9989261769664,451,28.0189165536191,20.6865630460774,34.485410899125,35.1555304236779,3,10.223094908259,0.014298606640302,10.5020130409452,0.017797811364367,19,2.57620510668629,0.058487767865355,4.38635426779156,0.412054972421873,3,19,0,0,0.216691957511381,0.373292867981791,0.057663125948407,1,0.315629742033384,1,0.022997537169377,0.038058819391828,0.056750119275281,0.151743438811785,0.684370257966616,0.042517324057085,0.031390839220148,0.052329910317337,0.053346783647463,0.004552352048558,0.015513042349407,2.16974304101694E-05,0.015936286860312,2.70073010081443E-05,0.028831562974203,0.00390926419831,8.87523032858187E-05,0.006656076278895,0.000625273099274,0.004552352048558,0.028831562974203,0
MAP2,S100,Brn2,mTeSR1,1.5,1.75,2.5,2.25,6,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A01f10d0.TIF,A,1,165.34,354,24,361,18,361,18.503481243677,31.8323628483399,40.3289154837623,99.9902916073539,343,41.8306556378185,50.1970908442932,50.1924980353966,63.1856917507047,6,22.0346565172905,0.080690126919893,21.5139989791026,0.082753206831903,53,11.0448013427757,1.30641842177872,16.1760900199885,5.37021953247569,6,53,0,0,0.458005540166205,0.980609418282548,0.066481994459834,1,0.049861495844875,1,0.051256180730407,0.088178290438615,0.111714447323441,0.276981417194886,0.950138504155125,0.115874392348528,0.139050113142086,0.139037390679769,0.175029617037963,0.016620498614959,0.061037829687786,0.000223518357119,0.059595565039065,0.000229233259922,0.146814404432133,0.030595017570016,0.003618887594955,0.044809113628777,0.014875954383589,0.016620498614959,0.146814404432133,0
MAP2,S100,Brn2,mTeSR1,0,1.5,2.5,1.75,3.75,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A02f09d0.TIF,A,2,136.77,58,97,91,1,91,10.1287478156902,13.2000569070174,36.0445025338965,99.9823259102156,89,17.6728514726846,16.6664990113124,46.5277011188425,63.8707727632838,9,13.7731745206015,0.386852754529569,30.803506639277,0.682093947370574,23,4.04373577324565,1.05299537846041,15.1746641087499,12.1170992760861,9,22,3,3,1.50296703296703,0.637362637362637,1.06593406593407,1,0.010989010989011,1,0.111304921051541,0.145055570406784,0.396093434438423,1.09870687813424,0.978021978021978,0.19420715904049,0.183148340783653,0.511293418888379,0.701876623772349,0.098901098901099,0.151353566160456,0.004251129170655,0.338500072959088,0.007495537883193,0.252747252747253,0.044436656848853,0.011571377785279,0.166754550645604,0.133154937099847,0.098901098901099,0.241758241758242,0.032967032967033
MAP2,S100,Brn2,mTeSR1,2.25,1.5,2.5,2.25,6.5,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A03f00d0.TIF,A,3,115.84,66,112,588,10,588,8.31602004391612,11.5318621815506,37.4006201863202,99.9995761418738,568,27.5074963499034,22.4756133311873,49.1359732866988,66.2558517103242,5,13.7429750011496,0.022274211349214,18.7662035574632,0.132584883931883,355,11.003292990665,3.12622148900947,30.8875334793699,23.1000277705314,5,345,3,3,0.197006802721088,0.112244897959184,0.190476190476191,1,0.017006802721089,1,0.01414289123115,0.019612010512841,0.063606496915511,0.170067306363731,0.965986394557823,0.046781456377387,0.038223832195897,0.083564580419556,0.112680019915517,0.008503401360544,0.02337240646454,3.78813118183906E-05,0.031915312172556,0.000225484496483,0.603741496598639,0.018713083317457,0.005316703212601,0.052529818842466,0.039285761514509,0.008503401360544,0.586734693877551,0.005102040816327
MAP2,S100,Brn2,mTeSR1,2.25,1.5,2.5,2.25,6.5,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A03f01d0.TIF,A,3,103.22,28,370,398,62,398,6.11652286627426,8.15128356939207,33.8738615045564,99.9790619765494,320,16.7005275395475,7.36550687482755,30.6949363547561,25.6690311565153,3,5.45599406212637,0.01868159661547,7.69757292870486,0.124730380339366,141,5.53277183160121,0.950318449369999,17.8256872010231,10.2909066694896,3,125,0,0,0.259346733668342,0.07035175879397,0.92964824120603,1,0.155778894472362,1,0.015368147905212,0.020480611983397,0.085110204785318,0.251203673307913,0.804020100502513,0.041961124471225,0.018506298680471,0.077122955665216,0.064495053157074,0.007537688442211,0.013708527794287,4.69386849634912E-05,0.019340635499259,0.000313392915426,0.35427135678392,0.013901436762817,0.002387734797412,0.044788158796541,0.025856549420828,0.007537688442211,0.314070351758794,0
MAP2,S100,Brn2,mTeSR1,2.25,1.5,2.5,2.25,6.5,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A03f02d0.TIF,A,3,136.84,127,28,407,228,407,10.9140395072657,15.1843298767589,38.2171732795023,99.996331345612,146,13.5121394451853,2.55535500781753,22.3643300610367,6.87189462608549,1,3.52738793916123,0.004095580796468,4.58712669049814,0.013775685914361,72,6.5309963613998,0.575105766577762,14.8342677050698,4.15229656616646,1,39,0,0,0.336216216216216,0.312039312039312,0.068796068796069,1,0.56019656019656,1,0.026815821885174,0.037307935815133,0.093899688647426,0.2456912318074,0.358722358722359,0.03319935981618,0.006278513532721,0.054949213909181,0.016884261980554,0.002457002457002,0.00866680083332,1.00628520797747E-05,0.011270581549136,3.38468941384795E-05,0.176904176904177,0.016046674106633,0.001413036281518,0.036447832199189,0.010202202865274,0.002457002457002,0.095823095823096,0
MAP2,S100,Brn2,mTeSR1,2.25,1.5,2.5,2.25,6.5,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A03f04d0.TIF,A,3,159.51,206,20,422,20,422,18.1291911443484,26.4294295502621,37.6827100400199,99.9940116800805,292,25.0864993849444,18.6091695024372,34.5200871063251,32.6806303186542,4,10.6787821610871,0.207796836199761,13.2187729784263,0.642375628226586,308,19.7703636588338,11.9893457417456,42.3736633761118,45.4159417442954,4,198,2,2,0.377985781990521,0.488151658767773,0.04739336492891,1,0.04739336492891,1,0.042960168588503,0.062628979976925,0.089295521421848,0.236952634312987,0.691943127962085,0.059446681006977,0.044097558062648,0.081801154280391,0.077442251939939,0.009478672985782,0.025305170997837,0.000492409564454,0.031324106583949,0.001522217128499,0.729857819905213,0.046849202983019,0.028410771899871,0.100411524587943,0.107620715033875,0.009478672985782,0.469194312796209,0.004739336492891
MAP2,S100,Brn2,mTeSR1,2.25,1.5,2.5,2.25,6.5,,mTeSR-2,Cortical-final-4w-11-20-18-mTeSR1-2-A+B,scan_Plate_R_p00_0_A03f05d0.TIF,A,3,99.89,44,268,376,6,376,6.48187022900763,8.33845879702014,37.305310377425,100,370,26.0170900682884,19.595773360618,56.0813970050514,75.1058186815191,2,7.1478734594868,0.020406051687667,10.3748182748513,0.036489727253221,135,4.70392974570036,1.05601317483675,15.6641058327129,9.74969361100816,2,135,1,1,0.265664893617021,0.117021276595745,0.712765957446808,1,0.015957446808511,1,0.01723901656651,0.022176752119735,0.09921625100379,0.265957446808511,0.984042553191489,0.069194388479491,0.052116418512282,0.149152651609179,0.199749517769998,0.00531914893617,0.019010301753954,5.42714140629433E-05,0.027592601794817,9.70471469500545E-05,0.359042553191489,0.012510451451331,0.002808545677757,0.041659855938066,0.02593003619949,0.00531914893617,0.359042553191489,0.002659574468085
