Ch1,Ch2,Ch3,Media,Name,Directory,SubDirectory,Image,Row,Column,size-average,image-quality,too-big-(>250),too-small-(<75),#nuclei,all-negative,Dapi-positive,Dapi-intensity,Dapi-area,Dapi-intensity-in-nuclei,Dapi-area-fraction-in-nuclei,Ch1-positive,Ch1-intensity,Ch1-area,Ch1-intensity-in-nuclei,Ch1-area-fraction-in-nuclei,Ch2-positive,Ch2-intensity,Ch2-area,Ch2-intensity-in-nuclei,Ch2-area-fraction-in-nuclei,Ch3-positive,Ch3-intensity,Ch3-area,Ch3-intensity-in-nuclei,Ch3-area-fraction-in-nuclei,Ch1-Ch2-positive,Ch1-Ch3-positive,Ch2-Ch3-positive,Ch1-Ch2-Ch3-positive
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A09f11d0.TIF,A,9,159.46,False,31,2,4,0,4,60.71248735399614,61.493996022256965,52.02546325398802,99.69231699472942,4,58.67798316357031,62.86745263496735,79.95616990959319,97.1607727940464,4,39.488030126230115,58.61128195990067,44.31360027560234,85.81319881730184,0,46.16690569530029,34.49952002667157,48.85155457860538,24.710703855366376,4,0,0,0
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A01f00d0.TIF,A,1,118.86,True,57,260,274,0,274,6.019838418559735,7.728576519819737,28.623865893822888,99.93011207963295,238,27.164885208774027,22.68247608755633,40.13354294390619,50.27397347224003,274,59.15900625402373,96.34286190563782,69.54741700921521,99.20142093040326,45,15.454822869723168,0.5082831325301205,26.48099712284801,6.715457108504906,238,45,45,45
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A10f00d0.TIF,A,10,108.23,True,31,145,157,0,157,4.292756426469236,3.5463418559735125,33.31547233687305,99.91567336218517,127,13.761995022073025,5.267779131794353,32.11327127980921,36.18825717967359,157,40.359955566540975,69.57587027499311,61.42234755295675,95.88095526188314,53,10.686982663478341,0.376218614917686,26.17469380591166,10.048906480843042,127,53,53,53
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A01f01d0.TIF,A,1,123.72,True,41,290,317,0,317,6.12555469971489,7.987101076059965,28.65148102828434,99.94794745422584,229,19.892960199576933,10.620272119010393,27.612990279047878,26.788530389811143,317,47.03963803688035,82.92415846592476,55.18542279883128,93.72779567360026,56,14.0475712487354,0.6444432309390232,26.165505482399265,8.005197535937658,229,46,56,46
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A10f01d0.TIF,A,10,119.36,True,37,193,210,0,210,4.865011812517245,4.828977168214844,32.42571072443344,99.88437115234807,179,18.774517439988962,12.431381058585487,41.39043845758961,51.30474390323751,210,45.94158911408995,73.61368182654282,69.8609961901892,94.93097164545601,74,10.12164737193047,0.5325692081302309,24.570496182780495,9.98362026558333,179,74,74,74
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A10f02d0.TIF,A,10,197.24,True,176,8,54,0,54,10.391306159753517,11.71242699806861,35.004685094461486,99.95725782148239,43,25.78443449369999,19.60540156810448,48.63105700360152,58.60292855552349,54,50.72999488411662,88.85843948312333,70.78818559773778,98.83939876879157,13,26.207347040835096,1.0616176538213924,36.249414833655564,8.79013723054651,43,13,13,13
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A01f02d0.TIF,A,1,139.92,True,218,66,269,0,269,11.932969712820748,18.243513174836753,27.760178693001823,99.90370748365058,175,28.147870585395015,20.563408213004692,34.631412431072555,36.61508205024273,269,56.086796134921364,95.19193184953555,60.3822822057848,98.15360157536081,37,27.009332176032373,1.3605950519635794,33.74091773908425,5.759164986754965,175,35,37,35
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A10f03d0.TIF,A,10,186.46,True,157,8,54,0,54,10.208220046215397,9.876744573714706,38.415028016805756,99.99056077999148,42,21.861457998022626,14.79812379288145,44.586578323329164,54.49078154084658,54,50.7549829566357,93.60600800147154,68.74709650601622,99.42040255135369,19,26.17974713740458,1.2954250206934608,40.47475470429307,13.765587226523843,42,19,19,19
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A01f03d0.TIF,A,1,159.91,True,274,33,211,0,211,13.634365228087924,21.712470109445416,31.732584073187365,99.90511988414605,169,32.59752583808517,32.656149406787456,39.74504391322782,49.16043700027588,211,48.252281310355926,88.81669329991723,52.852719617597806,95.99758195500672,38,23.178701686517062,1.1812517244550722,29.484762965383542,5.713216348199237,169,37,38,37
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A10f04d0.TIF,A,10,195.71,True,180,16,19,0,19,11.351839849857445,12.928742642325025,36.590543117222865,99.93898288401019,13,19.682277056700084,13.25581428768509,39.344353548710366,45.216450503284136,19,37.5218129196174,51.42274728685735,53.920453310661756,87.78428410833722,7,29.140913127701648,1.4961803320150833,40.92170769588066,10.731842867313834,13,6,7,6
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A01f04d0.TIF,A,1,152.3,True,95,37,46,4,46,8.50443328658144,8.929803182194426,26.61133848504756,99.67831392843321,8,13.151304406557529,4.334705233146326,23.39718916020403,14.833760362659353,40,27.804105496413133,19.798468683895887,36.49578247566575,49.06855508655497,20,36.81139850432263,3.821033178515589,48.92944995018946,18.13649114747318,8,5,18,5
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A10f05d0.TIF,A,10,114.63,True,24,100,98,0,98,3.455868320610687,2.389016945645176,29.192340549977022,99.82489423247603,90,18.99618536167571,10.004282396762623,52.307616785039116,61.760926097111444,98,28.50480691851375,24.14431102271682,41.532868783804524,71.8789798703904,33,17.806310643336705,0.49966085716913455,36.46038185384281,13.18213278982108,90,33,33,33
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A01f05d0.TIF,A,1,132.17,True,133,145,423,16,423,8.835800980640117,13.474963786443483,27.810875276201166,99.90361816329325,259,26.029925762209142,17.591956566724914,28.811990663700406,25.087307969157905,407,31.806184901821023,39.101875057481834,32.52913631389417,41.24826806876101,48,22.464965539639476,0.9308464775131059,30.22449752669285,5.738280859530176,259,45,48,45
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A10f06d0.TIF,A,10,128.86,False,85,193,295,15,295,6.13336288857721,7.983221052147521,36.77169380204246,99.94943845890256,208,17.336422502989056,9.766235744504737,28.668630018938988,27.8465106157811,280,26.291966051227813,21.617553228179894,33.91655715397099,45.09353156290291,95,12.912831670192219,0.776364043962108,24.42269680763414,8.04076315219713,208,95,95,95
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A01f06d0.TIF,A,1,127.88,True,109,94,372,0,372,7.728576519819737,10.76325818541341,30.23400478460614,99.94414969135376,260,25.519060258208405,19.191532350777155,31.96998006066345,35.48890222928733,372,46.031801825623106,82.45510668628714,50.16369758381863,90.10750807356746,69,21.635750540329255,0.8929084659247678,31.988869737182906,7.7702101897074805,260,60,69,60
MAP2,S100B,Brn2,mTeSR1,,mTeSR-1,cortical final 2w-mTeSR-11-20-1-A+B,scan_Plate_R_p00_0_A10f07d0.TIF,A,10,125.07,False,125,174,347,0,347,7.053817368711488,10.089355513657685,36.363969678415394,99.95075300330105,246,22.85545833141727,17.489782603697233,31.693005646268112,33.75771030019504,347,55.43521509702934,94.49424606824243,64.45032939465979,99.20065068594904,75,12.2831727674055,0.5426285293847144,20.155705624389718,5.458344106925214,246,75,75,75
