Ch1,Ch2,Ch3,Media,Name,Directory,SubDirectory,Image,Row,Column,size-average,image-quality,too-big-(>250),too-small-(<75),#nuclei,all-negative,Dapi-positive,Dapi-intensity,Dapi-area,Dapi-intensity-in-nuclei,Dapi-area-fraction-in-nuclei,Ch1-positive,Ch1-intensity,Ch1-area,Ch1-intensity-in-nuclei,Ch1-area-fraction-in-nuclei,Ch2-positive,Ch2-intensity,Ch2-area,Ch2-intensity-in-nuclei,Ch2-area-fraction-in-nuclei,Ch3-positive,Ch3-intensity,Ch3-area,Ch3-intensity-in-nuclei,Ch3-area-fraction-in-nuclei,Ch1-Ch2-positive,Ch1-Ch3-positive,Ch2-Ch3-positive,Ch1-Ch2-Ch3-positive
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G09f09d0.TIF,G,9,123.7,True,13,20,70,31,70,3.3036377379748,1.498767014623379,51.30982126428277,100.0,36,3.560169111560747,0.7727714292283638,21.70908385898236,20.610433975903142,25,18.8334183585487,0.3013485238664582,36.9158978593128,6.58936953032147,19,18.253790927067048,0.4006483951071461,39.37409128204369,13.413484362964244,24,17,14,14
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G09f10d0.TIF,G,9,122.39,True,26,31,190,54,190,4.3168197599558535,3.552808562494252,44.87320715412118,100.0,136,7.560095822220179,2.987977674054999,31.72492355298271,35.75179894938677,79,20.1679295904994,0.9987468959808701,42.506505529945855,10.30585750060953,15,11.824201146187805,0.2355318219442656,23.870837792704936,2.752257647586108,79,15,12,12
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G09f11d0.TIF,G,9,116.87,True,17,94,189,113,189,4.820860733008369,3.436838958888991,46.0140050581459,100.0,76,4.394456882875011,0.8265169456451761,15.324784160841043,6.637338885371245,0,8.706490561482571,0.019040858088843926,16.804571318274146,0.03810081169123348,0,6.6937985721512,0.04145877402740734,14.607281786796943,0.4058285779178378,0,0,0,0
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f00d0.TIF,G,10,121.09,False,103,302,930,81,930,8.732572944449554,15.747077048652626,31.063590905260973,99.98615321180195,734,23.985823542260647,20.896012485054722,34.14062120735475,36.55910159948909,0,5.553445173825072,0.00028740917869953095,7.265550466060234,0.0,528,25.390346931619607,4.3058206106870225,48.72073010305706,19.947306366653876,0,413,0,0
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f01d0.TIF,G,10,133.36,False,151,147,897,230,897,10.286498091603054,17.764258369355282,36.56044178683497,99.99065179165412,658,22.38352024510255,17.48813000091971,33.0228382096738,33.932681863792276,308,32.997017411248045,4.392546330359607,43.67643525286859,9.07202694450513,41,13.885942385956039,0.18925894417364114,25.47842992739999,0.7650778508600964,307,33,16,16
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f02d0.TIF,G,10,119.77,False,122,224,950,74,950,9.048864590039548,16.29911822863975,30.073585463374126,99.98517467382726,721,27.821350047135105,24.33486330819461,36.16342991748489,40.182568657472,515,45.563659696036055,11.534879977926975,53.95474976986191,17.523989423080103,668,37.1465700588614,8.546974156166652,61.73231692976451,36.94789210459375,501,516,382,371
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f03d0.TIF,G,10,130.28,False,145,143,973,258,973,10.137337757518624,18.406905292927433,34.29542320080973,99.998323756749,695,20.307307234663845,15.375313276004782,29.317325960117557,27.43710123862809,1,11.311290007357675,0.0020837165455715994,14.532689301132482,0.004389331254097779,78,15.349154729605445,0.5212883978662742,27.882832893363872,1.8323581368649897,1,58,0,0
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f04d0.TIF,G,10,126.92,False,90,199,538,348,538,7.165633191161593,10.788478340844293,32.88113298003796,99.96984314738953,169,8.682815948910145,2.649122252368252,16.9223020909686,7.034903712930004,29,17.06977791892762,0.6049963211625127,26.02553885398265,1.4685153376396252,46,11.172377966062724,0.4620821070541709,25.603347350827903,1.6708546641724182,29,25,11,11
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f05d0.TIF,G,10,135.75,False,160,353,466,433,466,11.27789952749931,16.649757426653178,28.754627234594825,99.90977491882825,32,10.609589119838132,3.10351616389221,12.933343411867195,2.3073190725397064,0,14.730765140715533,1.0458820012875931,17.44241695701986,0.5704996595328212,1,11.000495780833257,1.1462596569484043,18.425657855774567,0.6463101531737737,0,0,0,0
MAP2,SOX2,PAX6,E8,,E8 11-15,G+H,scan_Plate_R_p00_0_G10f06d0.TIF,G,10,147.46,False,517,127,491,109,491,18.546345448588244,37.14239112940311,31.147513371396354,99.93151779455161,338,30.103910632989976,31.489986664214108,33.236404614402616,37.80126692711976,254,51.559240061390604,16.689851007081764,55.36576854906321,19.130019555522995,112,25.644951945185323,3.200301204819277,35.387572897989024,5.5846778774665475,249,73,49,49
