Ch1,Ch2,Ch3,Media,Growth,Viability,Differentiation,Attachment,Score,Name,Directory,SubDirectory,Image,Row,Column,size-average,too-big-(>250),too-small-(<75),#nuclei,all-negative,Dapi-positive,Dapi-intensity,Dapi-area,Dapi-intensity-in-nuclei,Dapi-area-fraction-in-nuclei,Ch1-positive,Ch1-intensity,Ch1-area,Ch1-intensity-in-nuclei,Ch1-area-fraction-in-nuclei,Ch2-positive,Ch2-intensity,Ch2-area,Ch2-intensity-in-nuclei,Ch2-area-fraction-in-nuclei,Ch3-positive,Ch3-intensity,Ch3-area,Ch3-intensity-in-nuclei,Ch3-area-fraction-in-nuclei,Ch1-Ch2-positive,Ch1-Ch3-positive,Ch2-Ch3-positive,Ch1-Ch2-Ch3-positive,size-average_per_nuclei,too-big-(>250)_per_nuclei,too-small-(<75)_per_nuclei,#nuclei_per_nuclei,all-negative_per_nuclei,Dapi-positive_per_nuclei,Dapi-intensity_per_nuclei,Dapi-area_per_nuclei,Dapi-intensity-in-nuclei_per_nuclei,Dapi-area-fraction-in-nuclei_per_nuclei,Ch1-positive_per_nuclei,Ch1-intensity_per_nuclei,Ch1-area_per_nuclei,Ch1-intensity-in-nuclei_per_nuclei,Ch1-area-fraction-in-nuclei_per_nuclei,Ch2-positive_per_nuclei,Ch2-intensity_per_nuclei,Ch2-area_per_nuclei,Ch2-intensity-in-nuclei_per_nuclei,Ch2-area-fraction-in-nuclei_per_nuclei,Ch3-positive_per_nuclei,Ch3-intensity_per_nuclei,Ch3-area_per_nuclei,Ch3-intensity-in-nuclei_per_nuclei,Ch3-area-fraction-in-nuclei_per_nuclei,Ch1-Ch2-positive_per_nuclei,Ch1-Ch3-positive_per_nuclei,Ch2-Ch3-positive_per_nuclei
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f00d0.TIF,A,1,172.23,170,42,611,0,611,12.9909236181367,16.5217166375425,47.3231710444101,99.9998055893074,610,38.0466623172078,45.7461285983629,45.4401091810914,62.9785345716148,450,14.5359347696128,11.8628138508231,17.2343409335999,14.0963330202463,319,3.92292260645636,0.538317391704221,6.14501533308631,2.99479146336525,450,318,242,242,0.281882160392799,0.27823240589198,0.068739770867431,1,0,1,0.021261740782548,0.027040452761936,0.077451998436023,0.16366580292849,0.998363338788871,0.062269496427509,0.074870914236273,0.074370064126173,0.103074524667127,0.736497545008183,0.023790400604931,0.01941540728449,0.028206777305401,0.023070921473398,0.522094926350245,0.006420495264249,0.000881043194279,0.010057308237457,0.004901459023511,0.736497545008183,0.520458265139116,0.39607201309329
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f01d0.TIF,A,1,172.63,120,19,319,1,319,9.35934769612802,10.1060252460223,46.0371082149257,99.9996155975152,317,30.328759455762,30.1469954244459,49.0679929957341,70.9856320503184,71,5.30929251356571,1.11687206842638,8.36484716635169,1.66151333632382,56,3.38615506874828,0.215628736319323,4.99205536189399,0.699161782885287,70,56,16,16,0.54115987460815,0.376175548589342,0.059561128526646,1,0.003134796238245,1,0.029339647950245,0.031680329924835,0.144316953651805,0.313478418800988,0.993730407523511,0.095074481052545,0.094504687850928,0.153818159861235,0.222525492320747,0.22257053291536,0.016643550199266,0.003501166358703,0.02622209143057,0.005208505756501,0.175548589341693,0.010614906171625,0.000675952151471,0.015649076369574,0.002191729726913,0.219435736677116,0.175548589341693,0.050156739811912
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f02d0.TIF,A,1,186.01,228,11,11,0,11,20.0124642175572,24.9508530304424,42.9342201126746,99.9708917719446,11,43.9924001827922,49.4643411431988,70.1671922396476,97.0865142603588,11,19.6126191311046,24.7671267129587,32.1854752989302,60.3848628477267,3,8.35980395819921,3.26417789478525,11.2350633137357,7.22155072067606,11,3,3,3,16.91,20.7272727272727,1,1,0,1,1.81931492886884,2.26825936640385,3.90311091933405,9.0882628883586,1,3.99930910752657,4.49675828574534,6.37883565814978,8.82604675094171,1,1.78296537555496,2.25155697390534,2.92595229990275,5.48953298615697,0.272727272727273,0.75998217801811,0.296743444980477,1.02136939215779,0.656504610970551,1,0.272727272727273,0.272727272727273
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f03d0.TIF,A,1,201.19,303,14,155,0,155,15.7489531120666,22.5580997654741,43.0349135084744,99.9873139307971,155,45.4069800193139,56.9826059965051,62.7523514804469,92.9008292059058,97,11.8786465039548,8.02044054078911,16.9600253977369,14.8747113545022,34,4.18024291823784,0.307958934976547,5.61047632824425,0.861821257130698,97,34,18,18,1.298,1.95483870967742,0.090322580645161,1,0,1,0.101606149110107,0.145536127519188,0.27764460328048,0.64507944471482,1,0.292948258189122,0.367629716106484,0.404853880519012,0.599360188425199,0.625806451612903,0.076636429057773,0.05174477768251,0.109419518695077,0.095965879706466,0.219354838709677,0.026969309149922,0.001986831838558,0.036196621472544,0.005560137142779,0.625806451612903,0.219354838709677,0.116129032258065
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f04d0.TIF,A,1,193.8,298,13,82,0,82,13.3943656304608,17.7978852432631,40.1887755717812,99.9873611754456,82,35.5268698841166,39.3466039731445,58.5198269542958,85.7690873044919,76,15.7965854352525,17.0130426285294,26.4584409081439,40.4257627130181,47,9.48393310838775,6.97190000459855,13.9268159491316,16.0893304875083,76,47,44,44,2.36341463414634,3.63414634146341,0.158536585365854,1,0,1,0.163345922322692,0.217047381015404,0.490107019168063,1.21935806311519,1,0.43325451078191,0.479836633818835,0.7136564262719,1.04596447932307,0.926829268292683,0.192641285795762,0.207476129616212,0.32266391351395,0.492997106256318,0.573170731707317,0.115657720833997,0.085023170787787,0.169839218891849,0.196211347408638,0.926829268292683,0.573170731707317,0.536585365853659
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f05d0.TIF,A,1,169.17,161,23,557,0,557,11.1000945576198,15.4356692035317,41.1551197094597,99.9998233602532,557,47.7212404005334,62.4660138646188,57.8971556725929,88.0390564426014,332,11.5920708118734,8.72868860939943,14.3832920846054,9.63408670238226,405,5.57035489285386,2.68454543364297,10.7122065753215,11.2526859850514,332,405,238,238,0.303716337522442,0.289048473967684,0.041292639138241,1,0,1,0.019928356476876,0.027712152968639,0.073887108993644,0.17953289651751,1,0.085675476482107,0.112147242126784,0.103944624187779,0.158059347293719,0.59605026929982,0.020811617256505,0.015670895169478,0.025822786507371,0.017296385462087,0.727109515260323,0.010000637150546,0.004819650688767,0.019231968716915,0.02020230877029,0.59605026929982,0.727109515260323,0.427289048473968
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f06d0.TIF,A,1,161.85,160,51,662,11,662,12.7277135737607,19.2161776878506,42.5377392735557,99.999369944698,637,31.8748534213189,26.1831917364113,35.693184003441,33.8601953586125,214,7.81590939138232,4.91290064839511,9.17548001673343,3.45887240536932,435,6.75074870091051,3.27086015819001,11.4250443031685,11.0166566817699,206,425,163,159,0.244486404833837,0.241691842900302,0.077039274924471,1,0.016616314199396,1,0.019226153434684,0.029027458742977,0.064256403736489,0.15105645006752,0.962235649546828,0.048149325409847,0.039551649148658,0.05391719637982,0.051148331357421,0.323262839879154,0.011806509654656,0.007421300073104,0.01386024171712,0.005224882787567,0.657099697885196,0.010197505590499,0.004940876371888,0.017258375080315,0.016641475350106,0.311178247734139,0.641993957703928,0.246223564954683
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f07d0.TIF,A,1,128.72,62,208,759,1,759,7.49889634875379,11.9636944725467,32.1096111388731,99.9536101475152,758,39.9502149820657,51.2398113446151,46.3078219980841,67.9946964647959,271,10.9256177860296,5.64744665685643,12.3438009760267,4.09592110771983,443,3.27225984089028,0.508786098592845,5.71309433502859,3.6200597581797,271,443,164,164,0.169591567852437,0.081686429512517,0.274044795783926,1,0.001317523056654,1,0.009879968838938,0.015762443310338,0.042305153015643,0.131691185965106,0.998682476943347,0.052635329357135,0.067509632865106,0.061011623185882,0.089584580322524,0.357048748353096,0.014394753341278,0.007440641181629,0.016263242392657,0.005396470497655,0.583662714097497,0.004311277787734,0.000670337415801,0.007527133511237,0.004769512197865,0.357048748353096,0.583662714097497,0.216073781291173
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f08d0.TIF,A,1,155.92,97,46,558,0,558,9.50754592798676,11.9566529476685,42.9837258510621,99.9946514058281,558,38.5017481663294,46.3499752828106,50.7563561788678,77.2568578326214,236,8.26219046031454,3.71749402188908,10.9779761719455,4.73774121043712,179,3.41161161822864,0.380170491124805,5.44971229592836,1.58961634106045,236,179,61,61,0.279426523297491,0.173835125448029,0.082437275985663,1,0,1,0.01703861277417,0.021427693454603,0.077031766758176,0.179201884239835,1,0.068999548685178,0.083064471832994,0.090961211790086,0.138453150237673,0.422939068100358,0.014806792939632,0.006662175666468,0.019673792422841,0.008490575645945,0.32078853046595,0.006113999315822,0.00068130912388,0.009766509490911,0.002848774804768,0.422939068100358,0.32078853046595,0.109318996415771
Tuj1,nestin,SOX1,E8,0.5,1.5,2.5,1.25,3.75,,E8 11-15,A+B,scan_Plate_R_p00_0_A01f10d0.TIF,A,1,184.12,222,4,11,0,11,18.0617656695484,19.8106117216959,47.8359491594832,99.9831010379375,11,34.1005307010485,33.7220781982893,59.0594092754732,90.9011434511706,3,7.69468522946749,2.0539696955762,13.4261086322574,6.23761281075358,10,22.2080648452589,41.0181039041663,34.016133820804,89.086144008304,3,10,3,3,16.7381818181818,20.1818181818182,0.363636363636364,1,0,1,1.64197869723167,1.80096470197236,4.34872265086211,9.08937282163068,1,3.10004824554986,3.06564347257176,5.3690372068612,8.26374031374278,0.272727272727273,0.699516839042499,0.186724517779654,1.22055533020521,0.567055710068507,0.909090909090909,2.01891498593263,3.72891853674239,3.09237580189127,8.09874036439127,0.272727272727273,0.909090909090909,0.272727272727273
